"id","median_house_value"
19109,99178982.751957
17007,88387705.9490685
1229,6463973.9779941
18154,94288709.5425222
20519,106342859.434568
4499,23424882.7630103
16552,85910263.4787668
5303,27839454.9924677
7573,39393063.8884377
6412,33445219.9025835
19301,100150610.713084
15919,82730272.6607476
6707,34975542.0524849
20304,105435781.274123
11611,60460067.5237575
5518,28966909.7686875
8917,46401217.0984384
14706,76481066.0606423
9153,47669172.264952
8434,43949345.5899689
6202,32319731.1177115
16377,84892366.9137863
33,345604.684614365
15016,78047010.1435856
18575,96377863.3386241
2224,11728636.5655394
2278,11976733.0268634
10158,52902073.8570446
13523,70262312.1162636
6865,35790096.5915416
4779,24942832.5281454
2326,12137059.3567486
4132,21573838.6778698
2800,14512755.1520494
5841,30501718.6583152
6755,35226725.049714
4352,22787010.2894743
2687,14002065.2752632
9725,50620013.8087832
2232,11708316.3762791
14030,72887444.5217568
16859,87556901.3257921
8994,46883329.0375696
11828,61389710.2943206
4289,22377370.0057379
14228,73901776.1211026
4473,23340863.2595263
1539,8322583.56184044
3717,19451247.7976278
2900,15095004.2166346
15175,78906283.1407731
9139,47570230.9603442
14829,76965857.3498496
20335,105585655.626667
8295,43254563.0146788
11560,60094984.4684056
16310,84612887.7839519
549,3104722.85331424
3789,19808921.0620109
8230,42843528.5640706
9068,47139496.8907918
16345,84841298.186462
11143,57905140.9563469
6792,35374385.5502028
16538,85767598.7624669
18540,96245725.0713792
7741,40299865.1985493
15497,80552807.21299
19339,100373313.081355
3341,17452832.8999715
4655,24321039.647419
13465,69828283.0279542
19936,103348415.648864
11052,57452176.219099
17268,89736407.9699713
10920,56684876.0786413
145,988495.19771323
20583,106774531.19987
8353,43558058.7346363
5873,30681944.2511428
6851,35708660.8831188
12535,65002154.7886788
2544,13360472.4766791
3229,16817278.267883
18798,97452772.1263241
16979,88226608.9607261
4895,25507797.7713311
9714,50561668.0777182
10796,56179678.894747
206,1230084.56251959
19641,101850965.873094
11931,61968570.7650549
8902,46408449.6879795
13723,71128429.9101628
19989,103644106.311803
13652,70902346.690902
2503,13000209.5810239
8681,45184968.3899397
13057,67720893.9572895
7352,38197694.4420568
4457,23240475.3485271
6558,34345165.2072539
5469,28578757.7829077
12894,66893319.014827
759,4198985.00181868
15820,82128821.2969763
12217,63485648.83274
10399,54131830.2310118
1518,8138103.50080966
1163,6095589.05107184
6126,31904305.0886869
20521,106390160.766505
1898,9868521.55309204
1118,5872095.89627201
10128,52787069.2904196
8360,43563784.4471431
10043,52110304.8373669
18350,95111426.8532977
2903,15121345.9040524
19184,99572972.9730264
13578,70430871.9028853
6234,32474687.1663018
10266,53428207.8894047
6517,33798501.7296098
7548,39302712.445035
13161,68351302.8906485
10332,53819857.0321293
16681,86672955.404178
2245,11780463.0694595
4946,25785917.6974882
6051,31428113.2676767
10592,55146365.272241
1911,9986485.55982476
785,4348896.6490039
11027,57402160.1208293
16043,83325102.4446848
9082,47043701.2802208
11313,58827460.8258043
6191,32269356.8369497
18878,97970029.482173
18127,94187780.3455265
7422,38621546.1883967
11904,61797406.1352518
11624,60418766.6475731
3407,17850569.0261159
5823,30500268.340469
17327,90007355.2181988
1954,10212087.6762005
4027,21151237.5487081
19387,100533637.727127
7756,40392603.7050317
14747,76581777.9093775
12804,66527676.1429311
2868,14963859.832303
9443,48996102.6223962
9899,51417860.2029782
3882,20376663.2273676
16401,85179007.0419956
146,1066163.73676056
19221,99732322.2311893
16871,87673927.2901934
11907,61832367.8609428
20209,105015958.228299
16999,88394781.9224951
4971,25883223.7789024
3347,17350229.7665663
3422,17856291.9844404
18326,95413217.6659099
16222,84191567.8462654
546,3155658.57016018
13026,67579846.0603488
13010,67514116.1821879
2997,15673380.3869045
15123,78571036.5537152
12614,65519793.047676
18055,93907414.4917097
6038,31363714.0295116
12968,67270255.6791918
4448,23199236.1093126
18771,97278959.877139
11783,61044856.9852329
5452,28547530.9465885
1741,9190764.30839797
4949,25776379.6935362
14434,74963214.518418
18062,94034826.9020087
15858,82403797.8582162
13591,70455649.1205583
17758,92239369.5149293
3157,16427505.3146066
11128,57788411.7773374
10350,53949047.2201023
2394,12517949.7212086
16007,83265860.6339519
15914,82655402.6739504
16081,83583378.002079
13339,69252082.2692901
85,598426.387567663
7562,39311899.8516306
17080,88734039.6254062
6379,33350203.2969558
17446,90612079.4745103
12018,62372277.1197388
17502,90848098.9713049
8046,41927201.6465061
11681,60728209.6655082
13959,72536921.3875232
4370,22887837.146307
2198,11434376.2080252
726,3974457.11326308
11838,61402619.5850813
7358,38193513.9690963
13589,70470521.0423374
8833,46050266.4349161
10486,54610666.5356396
2205,11618210.5747479
10045,52133406.506129
16668,86559526.2788045
20582,106735426.358237
13267,68845015.237808
10025,51973547.4096636
18691,97071012.7398701
5535,29000513.6317717
4438,23144593.7039763
7001,36458629.5720743
12584,65234994.1354265
9215,47796483.6635739
17272,89744404.3406895
7641,39839887.6650051
13594,70477912.483806
19589,101612394.928239
10890,56689436.9484715
6142,31962229.546752
15284,79426637.6242992
18290,95043723.6906142
19063,98963602.5637057
4207,21988945.7091987
19178,99536674.8916259
3517,18499211.9636832
1558,8427364.04321757
8547,44458565.4426416
19235,99947391.8905192
5265,27776962.0355844
8772,45683407.6260735
16421,85210942.1901968
1273,6787514.44298536
16036,83330807.3685183
1202,6296442.40895173
9584,49731228.8001801
566,3183278.47223635
18993,98556244.7506957
3645,19040375.4112655
13767,71422021.1352789
8038,41906118.0333658
2627,13809532.2337188
15114,78488562.9884707
13807,71595119.6249419
12780,66274591.845262
3194,16652706.5967387
6883,35791338.5879663
14197,73718793.0953993
18544,96276652.7260604
7166,37214574.883667
7389,38430967.7573234
11574,60149165.1503527
9272,48328735.0688746
10408,54153291.4253269
5695,29760639.2893893
10017,51987162.4953959
10915,56650415.2714145
11940,61992787.5458266
216,1315194.27303582
11012,57371549.7483263
7842,40786463.5169155
9147,47663644.8908765
10793,56290951.558153
9661,50059694.1939799
10869,56562681.8569807
20285,105264325.195679
7383,38367652.678123
19701,102155201.865852
2728,14151804.196275
5765,30030939.2277916
2073,10769026.8548849
15713,81662781.9214483
17077,88592862.5839364
8857,46194163.760709
7772,40465384.4008331
17098,88863797.1673062
10500,54563325.7572084
12855,66652951.2977033
17491,90801081.9421649
18279,95100367.7377845
13774,71583173.0598184
7075,36880444.383994
7690,40087202.5020103
5366,28167540.5071006
18072,94034420.201711
1480,7831943.97502422
2414,12633591.7274966
14027,72872755.9038065
17967,93372706.9224818
20473,106283708.738458
3216,16757840.6707896
3559,18729682.9527355
4021,21099438.9743117
11192,58236586.5568389
16187,83906016.0953195
9600,49852684.4187349
58,445061.294004789
9007,47000599.9262715
15549,80671253.8239423
9116,47440947.5000361
7057,36765103.3634007
5572,29113205.6280445
16812,87299688.4873981
3544,18672804.1717944
15475,80367437.3946482
10406,54354821.8844801
12601,65372969.1550833
347,1974270.31062941
7419,38626878.1812973
4502,23445596.7573892
12713,65945792.1803736
17866,92908230.4057827
11810,61184353.1603432
391,2249607.43036453
12134,62955217.366297
5862,30679781.7312838
15691,81607271.070864
1596,8610733.13992198
11950,62050718.5853068
11151,58011455.6957486
8884,46420135.576746
18463,95875195.0007955
12169,63093135.4110264
1702,9056346.56535595
14414,74930381.7492925
3550,18697969.2720031
17316,89913507.337442
276,1793580.17831208
826,4515657.5030535
17861,92790584.1017788
16272,84355275.989237
20128,104504628.963918
11820,61378759.0465228
6204,32339388.8343536
17003,88392501.281437
15499,80618959.3107394
18458,95895731.0804892
15163,78752261.6414058
7190,37434113.8871385
14358,74738269.351515
1259,6690478.53919534
11774,61081272.2739814
4661,24345519.1505355
1204,6314080.46032267
15913,82685661.1032754
1434,7687067.3804807
1937,10217347.7952856
20215,104956100.531219
2526,13177271.4183022
9104,47287780.0072271
13325,69119250.1940482
383,2249876.45614259
19035,98711960.3556602
9371,49175097.6580698
2152,11240529.4494477
20585,106741916.140483
5981,31085028.9078423
9435,48934293.7127503
20143,104513763.375673
16750,86990024.8341091
4051,21434414.2927952
11283,58680908.6551415
10426,54333189.5386075
4811,25084576.5682139
12901,66928892.3568307
16449,85304812.2346314
4704,24732193.1457953
8131,42298451.1326187
6955,36256983.7180075
19947,103380674.57781
12846,66694683.6195496
6962,36288243.0962217
19078,99063499.5032863
10367,54008327.7379299
4096,21524310.8278982
8383,43602234.1389434
13252,68775411.3936591
12927,67111433.4688957
7885,41046899.3871804
18241,94694956.3754653
1580,8529412.83784582
17764,92230985.5115599
17987,93447278.8034915
14086,73236455.8108495
1403,7539040.48898682
1285,6775101.84158917
419,2505727.69192807
3603,18927367.3706778
10728,56071240.6738798
4114,21597242.8320897
7902,41184573.7924498
5449,28463362.8237308
12522,64975863.0854971
10404,54187741.2643335
575,3289222.87497557
14911,77424946.9246783
6869,35726726.5926927
16219,84172089.7416527
17232,89485065.0799877
15638,81273033.10288
10309,53742208.1650023
4123,21527555.804163
113,882655.665411406
14682,76282182.8715184
1862,9792447.9499334
10605,55247977.4218935
732,4049809.16713334
11405,59337954.9350466
7353,38254627.0136077
3439,17994285.4251652
7722,40266092.7227128
18331,95392475.8119455
13402,69519271.5848718
14971,77725501.8628857
13346,69192782.8702528
3261,17000762.9583749
1156,6080450.95172958
10073,52138234.8193547
13685,71059425.6871044
12466,64744412.5985436
15665,81440650.3984698
11298,58764563.4487307
7318,38041319.5438723
9005,47055433.4224759
7312,37980735.1133604
11361,58994795.5145928
15958,82907539.3845677
7308,38004620.5835802
15641,81354741.6400682
9744,50721992.6566776
12349,64085211.9634373
6496,33787590.4722394
3136,16372823.7029978
7551,39304895.7944624
1573,8407953.49522834
18582,96453992.6880428
8862,46242997.0421929
708,3938312.31567881
2023,10543321.8518809
12829,66586172.5714751
9943,51657879.5576094
14261,73969852.1697778
12566,65218410.4840133
1415,7634418.18349124
12726,66051638.437096
3572,18908061.8756121
17352,90122983.3169859
14736,76574301.0789093
7307,38017835.4997863
5806,30242652.3015059
7625,39743598.8990245
17694,91906242.799282
10371,53978681.5601114
3593,18768447.7775715
8279,43033579.2454291
356,2120582.25856732
19192,99660023.269748
10858,56372634.1675867
12464,64723298.260079
13910,72144669.2716862
16830,87494778.4273035
6814,35479523.8417095
680,3778587.15384018
11250,58468059.9978063
5844,30474216.7499959
2608,13681162.2866369
15515,80566895.21672
11280,58700538.3402019
10049,52150373.3289919
3879,20389973.6453928
14502,75330249.4101426
2636,13830413.6518855
13653,70821541.595003
19482,101014429.976172
15942,82817565.3794557
6341,33016422.5748805
5761,30100357.7481154
11958,62006648.2790681
1820,9769815.18381312
20430,106156510.863944
2505,13084312.938619
19679,102002006.309492
11360,58933979.0067504
20205,104887714.799172
12834,66609245.597912
17337,90105037.549932
2298,11936256.9827881
5306,27944364.7777728
8387,43730733.2209336
8952,46531399.9019882
20173,104709533.936417
16767,87086596.6771562
15619,81312042.0224278
10864,56455043.3395419
6688,34823296.8400514
6610,34396617.7652329
16438,85264071.7112382
20406,106020110.123708
7604,39557538.2850101
848,4609901.66972405
11187,58255565.5387991
4735,24765660.2471592
2585,13554847.6003135
14906,77355277.4708349
10730,55918507.0689349
18740,97143506.5968432
4054,21250586.2431351
16700,86685044.8389468
15198,79038600.4102488
5669,29589480.0860199
18411,95596703.8882104
2700,14037387.3733619
15722,81719384.7749684
13247,68859727.3972159
7176,37331145.5428965
11505,59872119.5381815
1879,9806238.96652587
9580,49696253.1189772
3097,16143604.726219
19292,100159168.799338
15468,80359353.7798219
4726,24739533.1046988
15031,78072214.5909011
10991,57120849.8692342
11150,57955440.2533852
16002,83219532.6057677
9726,50566838.1831653
10953,56873959.5127103
13485,69999348.2264541
17957,93336273.2336718
16079,83635643.3951619
6906,35976477.3614006
14032,72901216.2622885
14793,76834823.567497
15370,79782540.8671506
12470,64760296.9659059
5292,28077654.6051775
4087,21432635.8359081
4220,22082634.2250486
17334,90077201.8717924
5275,27709684.633969
673,3746629.22284194
2401,12503159.3526977
11414,59387696.3875068
7584,39444904.7689414
11746,61046103.4867765
36,357428.706164115
7470,38890275.8871188
17451,90750676.4527027
8593,44771274.6987642
15034,78101002.1554849
9178,47774319.8092044
5580,29123589.2523704
15487,80423019.8500488
15948,82837222.1852387
12996,67435897.8136493
7942,41350528.7879097
9781,50887309.3330944
9800,51057026.8923675
12411,64421262.709424
15770,82050931.6181113
11508,59889882.5244261
14267,74041435.1257132
14857,77232210.6044492
9792,50962717.206514
11236,58458370.4508201
14676,76147016.8938776
7637,39771279.8379212
12331,63939559.5174013
10035,52051574.061638
16426,85173132.3733023
17245,89511381.116504
439,2485468.10756396
859,4657168.73818309
8379,43588797.0354744
11729,60784289.0736623
3108,16198357.5477585
12625,65551620.8253274
12668,65734446.8952615
14217,73865672.215421
19045,98784705.0621023
13432,69730304.7088499
398,2321785.75371172
13671,70897519.6027663
11812,61300519.9996979
9574,49693274.9618918
13062,67806857.9562691
10800,56254593.5148285
11471,59759211.2762701
13912,72138267.055663
4339,22636609.8210782
19453,100936914.130988
13182,68477765.9071683
